VehicleCount,DetectorLength,PhaseDuration,CongestionLevel
2,45.0,20,1
4,45.019999999999996,30,1
6,45.0,40,1
6,45.019999999999996,40,1
6,45.0,40,1
6,45.019999999999996,40,1
6,45.0,40,1
6,45.019999999999996,40,1
6,45.0,40,1
6,45.019999999999996,40,1
6,45.0,40,1
6,45.019999999999996,40,1
6,45.0,40,1
6,45.019999999999996,40,1
6,45.0,40,1
6,45.019999999999996,40,1
6,45.0,40,1
6,45.019999999999996,40,1
6,45.0,40,1
6,45.019999999999996,40,1
6,45.0,40,1
5,45.019999999999996,40,1
6,45.0,40,1
6,45.019999999999996,40,1
6,45.0,40,1
